date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:16	41674/41674	---M-Z	200	added ('OK')	text/html	etag:%22e47a3475b4dcce1:0%22	http://rvonbuelow.info/pages/game.html	C:/My%20Web%20Sites/DolphinsVsSharks/rvonbuelow.info/pages/game.html	(from )
21:34:16	1371/1371	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202014%2004:34:13%20GMT	http://rvonbuelow.info/robots.txt		(from )
21:34:16	273/273	---M--	200	added ('OK')	text/css	date:Wed,%2014%20May%202014%2004:34:14%20GMT	http://fonts.googleapis.com/css?family=Lobster+Two	C:/My%20Web%20Sites/DolphinsVsSharks/fonts.googleapis.com/csse9a9.css	(from http://rvonbuelow.info/pages/game.html)
21:34:17	347/347	---M--	302	error ('Found')	text/html	date:Wed,%2014%20May%202014%2004:34:15%20GMT	http://hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/script/utils.js	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/script/utils.3.delayed	(from http://rvonbuelow.info/pages/game.html)
21:34:18	353/353	---M--	302	error ('Found')	text/html	date:Wed,%2014%20May%202014%2004:34:15%20GMT	http://hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/images/lightHouse.png	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/images/lightHouse.5.delayed	(from http://rvonbuelow.info/pages/game.html)
21:34:18	6603/6603	---M--	200	added ('OK')	text/javascript	etag:%22120044-19cb-4d9dea959a98c%22	http://hosting.otterlabs.org/classes/vonbuelowrichardl/Portfolio/script/utils.js	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.otterlabs.org/classes/vonbuelowrichardl/Portfolio/script/utils.js	(from http://rvonbuelow.info/pages/game.html)
21:34:18	1507/1507	---M--	200	added ('OK')	image/png	etag:%22120adb-5e3-4da9eaea686c8%22	http://hosting.otterlabs.org/classes/vonbuelowrichardl/Portfolio/images/lightHouse.png	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.otterlabs.org/classes/vonbuelowrichardl/Portfolio/images/lightHouse.png	(from http://rvonbuelow.info/pages/game.html)
21:34:18	350/350	---M--	302	error ('Found')	text/html	date:Wed,%2014%20May%202014%2004:34:16%20GMT	http://hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/images/dolphin.png	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/images/dolphin.7.delayed	(from http://rvonbuelow.info/pages/game.html)
21:34:18	350/350	---M--	302	error ('Found')	text/html	date:Wed,%2014%20May%202014%2004:34:16%20GMT	http://hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/images/island3.png	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.csumb.edu/classes/vonbuelowrichardl/Portfolio/images/island3.9.delayed	(from http://rvonbuelow.info/pages/game.html)
21:34:19	6563/6563	---M--	200	added ('OK')	image/png	etag:%2212060e-19a3-4d97d59e5c384%22	http://hosting.otterlabs.org/classes/vonbuelowrichardl/Portfolio/images/dolphin.png	C:/My%20Web%20Sites/DolphinsVsSharks/hosting.otterlabs.org/classes/vonbuelowrichardl/Portfolio/images/dolphin.png	(from http://rvonbuelow.info/pages/game.html)
